,str_player_name,str_positions,dt_date_of_birth,int_best_overall_rating,age,new_column,new_column_plus
0,Lionel Andrés Messi Cuccittini,"RW, ST, CF",1987-06-24,93,34,1,6
1,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",1985-02-05,92,36,1,6
2,Jan Oblak,GK,1993-01-07,91,28,1,6
3,Kevin De Bruyne,"CAM, CM",1991-06-28,91,30,1,6
4,Neymar da Silva Santos Júnior,"LW, CAM",1992-02-05,91,29,1,6
5,Robert Lewandowski,ST,1988-08-21,91,33,1,6
6,Kylian Mbappé Lottin,"ST, LW, RW",1998-12-20,91,22,1,6
7,Alisson Ramsés Becker,GK,1992-10-02,90,28,1,6
8,Mohamed Salah Ghaly,RW,1992-06-15,90,29,1,6
9,Sadio Mané,LW,1992-04-10,90,29,1,6
10,Virgil van Dijk,CB,1991-07-08,90,30,1,6
11,Marc-André ter Stegen,GK,1992-04-30,90,29,1,6
12,Carlos Henrique Venancio Casimiro,CDM,1992-02-23,89,29,1,6
13,Thibaut Courtois,GK,1992-05-11,89,29,1,6
14,Manuel Neuer,GK,1986-03-27,89,35,1,6
15,Karim Benzema,"CF, ST",1987-12-19,89,33,1,6
16,Sergio Ramos García,CB,1986-03-30,89,35,1,6
17,Sergio Leonel Agüero del Castillo,ST,1988-06-02,89,33,1,6
18,N'Golo Kanté,"CDM, CM",1991-03-29,88,30,1,6
19,Joshua Kimmich,"CDM, RB",1995-02-08,88,26,1,6
20,Paulo Bruno Exequiel Dybala,"CF, CAM",1993-11-15,89,27,1,6
21,Ederson Santana de Moraes,GK,1993-08-17,88,28,1,6
22,Raheem Shaquille Sterling,"LW, RW",1994-12-08,88,26,1,6
23,Harry Kane,ST,1993-07-28,88,28,1,6
24,Kalidou Koulibaly,CB,1991-06-20,88,30,1,6
25,손흥민 孙兴慜,"LM, CF",1992-07-08,88,29,1,6
26,Eden Hazard,"LW, ST",1991-01-07,88,30,1,6
27,Toni Kroos,CM,1990-01-04,88,31,1,6
28,Samir Handanovič,GK,1984-07-14,88,37,1,6
29,Jadon Sancho,"RM, CF, CAM",2000-03-25,89,21,1,6
30,Trent Alexander-Arnold,RB,1998-10-07,87,22,1,6
31,Bernardo Mota Veiga de Carvalho e Silva,"RW, CAM, CM",1994-08-10,87,27,1,6
32,Andrew Robertson,LB,1994-03-11,87,27,1,6
33,Aymeric Laporte,CB,1994-05-27,88,27,1,6
34,Bruno Miguel Borges Fernandes,"CAM, CM",1994-09-08,88,26,1,6
35,Fábio Henrique Tavares,CDM,1993-10-23,87,27,1,6
36,Roberto Firmino Barbosa de Oliveira,CF,1991-10-02,87,29,1,6
37,Antoine Griezmann,"ST, LW, RW",1991-03-21,87,30,1,6
38,Keylor Navas Gamboa,GK,1986-12-15,87,34,1,6
39,Ciro Immobile,ST,1990-02-20,87,31,1,6
40,Sergio Busquets i Burgos,"CDM, CM",1988-07-16,87,33,1,6
41,Pierre-Emerick Aubameyang,"ST, LW",1989-06-18,87,32,1,6
42,Wojciech Szczęsny,GK,1990-04-18,87,31,1,6
43,Ángel Fabián Di María Hernández,"RW, LW",1988-02-14,87,33,1,6
44,Luka Modrić,CM,1985-09-09,87,35,1,6
45,Luis Alberto Suárez Díaz,ST,1987-01-24,87,34,1,6
46,Hugo Lloris,GK,1986-12-26,87,34,1,6
47,Giorgio Chiellini,CB,1984-08-14,87,37,1,6
48,Jamie Vardy,ST,1987-01-11,86,34,1,6
49,Serge Gnabry,"RM, LM, RW",1995-07-14,86,26,1,6
50,Daniel Carvajal Ramos,RB,1992-01-11,86,29,1,6
51,Raphaël Varane,CB,1993-04-25,87,28,1,6
52,Marco Verratti,"CM, CDM",1992-11-05,86,28,1,6
53,Paul Pogba,"CM, CDM",1993-03-15,86,28,1,6
54,David De Gea Quintana,GK,1990-11-07,86,30,1,6
55,Thomas Müller,"CAM, RM, RW",1989-09-13,86,31,1,6
56,Jordi Alba Ramos,LB,1989-03-21,86,32,1,6
57,Jordan Brian Henderson,"CDM, CM",1990-06-17,86,31,1,6
58,Mats Hummels,CB,1988-12-16,86,32,1,6
59,Yann Sommer,GK,1988-12-17,86,32,1,6
60,David Josué Jiménez Silva,"CAM, CM",1986-01-08,86,35,1,6
61,Gerard Piqué Bernabéu,CB,1987-02-02,86,34,1,6
62,Alejandro Darío Gómez,"CAM, CF, ST",1988-02-15,86,33,1,6
63,Kai Havertz,"CAM, RM, CF",1999-06-11,87,22,1,6
64,Matthijs de Ligt,CB,1999-08-12,87,22,1,6
65,Milan Škriniar,CB,1995-02-11,86,26,1,6
66,Rodrigo Hernández Cascante,"CDM, CM",1996-06-22,85,25,1,6
67,Marcus Rashford,"LM, ST",1997-10-31,86,23,1,6
68,Gianluigi Donnarumma,GK,1999-02-25,85,22,1,6
69,Frenkie de Jong,CM,1997-05-12,87,24,1,6
70,Sergej Milinković-Savić,"CM, CDM, CAM",1995-02-27,86,26,1,6
71,Leroy Sané,LM,1996-01-11,85,25,1,6
72,Clément Nicolas Laurent Lenglet,CB,1995-06-17,86,26,1,6
73,Timo Werner,"ST, LW",1996-03-06,87,25,1,6
74,Ricardo Domingos Barbosa Pereira,RB,1993-10-06,85,27,1,6
75,Leon Goretzka,"CM, CDM",1995-02-06,87,26,1,6
76,Hakim Ziyech,"CAM, RW",1993-03-19,85,28,1,6
77,Marcos Aoás Corrêa,"CB, CDM",1994-05-14,87,27,1,6
78,Riyad Mahrez,"RW, RM",1991-02-21,85,30,1,6
79,Mauro Emanuel Icardi Rivero,ST,1993-02-19,85,28,1,6
80,Luis Alberto Romero Alconchel,"CAM, CM, CF",1992-09-28,85,28,1,6
81,Lorenzo Insigne,"LW, CF",1991-06-04,85,30,1,6
82,Jorge Resurrección Merodio,"CM, RM, LM",1992-01-08,85,29,1,6
83,Bernd Leno,GK,1992-03-04,85,29,1,6
84,Romelu Lukaku Menama,ST,1993-05-13,85,28,1,6
85,Alex Sandro Lobo Silva,"LB, LM",1991-01-26,85,30,1,6
86,Christian Dannemann Eriksen,"CAM, CM, RM",1992-02-14,85,29,1,6
87,Daniel Parejo Muñoz,CM,1989-04-16,85,32,1,6
88,Thiago Alcântara do Nascimento,"CM, CDM",1991-04-11,85,30,1,6
89,Kyle Walker,RB,1990-05-28,85,31,1,6
90,Marco Reus,"CAM, CF",1989-05-31,85,32,1,6
91,Péter Gulácsi,GK,1990-05-06,85,31,1,6
92,Leonardo Bonucci,CB,1987-05-01,85,34,1,6
93,Toby Alderweireld,CB,1989-03-02,85,32,1,6
94,Diego Roberto Godín Leal,CB,1986-02-16,85,35,1,6
95,Georginio Wijnaldum,CM,1990-11-11,85,30,1,6
